city,city_state,state,population,lat,lon,education_score,safety_score,health_score,composite_score,composite_z
Albuquerque,"Albuquerque, NM",NM,564559,35.0844,-106.6504,52.90520124543257,19.31108817709079,40.272804263972404,37.496364562165255,-0.6251817718917372
Anaheim,"Anaheim, CA",CA,350986,33.8366,-117.9143,25.978516608117125,66.20018187137529,51.58349698028357,47.92073181992533,-0.10396340900373353
Arlington,"Arlington, TX",TX,394266,32.7357,-97.1081,45.29607819613577,60.2857620985735,54.41117015936136,53.33100348469021,0.16655017423451043
Atlanta,"Atlanta, GA",GA,510823,33.749,-84.388,71.97259747476622,44.886957464882336,51.58349698028357,56.147683973310706,0.3073841986655353
Aurora,"Aurora, CO",CO,395282,39.7294,-104.8319,43.39562313553152,58.04787353589174,54.41117015936136,51.95155561026154,0.09757778051307708
Austin,"Austin, TX",TX,979882,30.2672,-97.7431,70.97983856953618,63.53602882056367,74.2048824129059,69.5735832676686,0.9786791633834294
Bakersfield,"Bakersfield, CA",CA,413280,35.3733,-119.0187,21.283453163776656,53.30568110544706,20.479092010427863,31.689408759883857,-0.9155295620058072
Baltimore,"Baltimore, MD",MD,585708,39.2904,-76.6122,45.54396363882327,7.002701082341112,20.479092010427863,24.34191891053075,-1.2829040544734625
Baton Rouge,"Baton Rouge, LA",LA,225128,30.4515,-91.1871,50.872814912883506,26.664150597330863,26.134438368583446,34.557134626265935,-0.7721432686867032
Boise,"Boise, ID",ID,237446,43.615,-116.2023,68.55637260611,71.52848797299853,77.0325555919837,72.37247205703075,1.1186236028515373
Boston,"Boston, MA",MA,654776,42.3601,-71.0589,67.48357384190658,55.96983415625868,71.37720923382811,64.94353907733112,0.747176953866556
Chandler,"Chandler, AZ",AZ,283500,33.3062,-111.8413,68.5674811693923,74.03279184076146,71.37720923382811,71.32582741466061,1.0662913707330308
Charlotte,"Charlotte, NC",NC,897720,35.2271,-80.8431,62.610927738012194,50.9079433597166,57.23884333843915,56.919238145389315,0.34596190726946574
Chesapeake,"Chesapeake, VA",VA,254444,36.7682,-76.2875,57.63465316113737,75.20501918311857,60.066516517516945,64.30206295392429,0.7151031476962147
Chicago,"Chicago, IL",IL,2665039,41.8781,-87.6298,53.47751493930354,37.480611983626034,54.41117015936136,48.45643236076364,-0.07717838196181777
Cincinnati,"Cincinnati, OH",OH,311097,39.1031,-84.512,52.85589845438358,37.90687647175589,31.78978472673903,40.85085321762617,-0.45745733911869163
Cleveland,"Cleveland, OH",OH,361607,41.4993,-81.6944,26.38907039067389,3.7524343603509323,9.16839929411669,13.103301348380505,-1.8448349325809748
Colorado Springs,"Colorado Springs, CO",CO,488664,38.8339,-104.8214,65.41527319758822,54.10492702069054,65.72186287567253,61.747354364650434,0.5873677182325215
Columbus,"Columbus, OH",OH,905748,39.9612,-82.9988,56.69621993783876,49.735716017359486,48.75582380120578,51.729253252134676,0.08646266260673378
Corpus Christi,"Corpus Christi, TX",TX,317773,27.8006,-97.3964,33.35694845040862,49.735716017359486,31.78978472673903,38.29414973150238,-0.5852925134248811
Dallas,"Dallas, TX",TX,1302092,32.7767,-96.797,37.71906370220577,43.235182573379134,45.92815062212799,42.29413229923763,-0.3852933850381184
Denver,"Denver, CO",CO,713252,39.7392,-104.9903,71.58288933133157,50.64152805463544,77.0325555919837,66.41899099265024,0.8209495496325117
Des Moines,"Des Moines, IA",IA,214237,41.5868,-93.625,47.55413284480781,49.735716017359486,54.41117015936136,50.56700634050955,0.028350317025477606
Durham,"Durham, NC",NC,295179,35.994,-78.8986,65.26371342100128,43.821296244557686,60.066516517516945,56.383842061025305,0.3191921030512653
El Paso,"El Paso, TX",TX,678815,31.7619,-106.485,29.32550147515726,65.7206343222292,34.61745790581682,43.22119790106776,-0.33894010494661203
Fontana,"Fontana, CA",CA,218390,34.0922,-117.435,14.396986450457788,63.37617963751498,31.78978472673903,36.52098360490393,-0.6739508197548035
Fort Worth,"Fort Worth, TX",TX,956709,32.7555,-97.3308,42.992372159854625,55.65013579016128,48.75582380120578,49.13277725040723,-0.04336113747963857
Fremont,"Fremont, CA",CA,230504,37.5485,-121.9886,76.96850055628315,75.68456673226466,88.34324830829486,80.33210519894756,1.5166052599473778
Fresno,"Fresno, CA",CA,545567,36.7378,-119.7871,23.548964972291042,55.49028660711258,26.134438368583446,35.057896649329024,-0.7471051675335488
Garland,"Garland, TX",TX,246018,32.9126,-96.6389,31.817898734274582,63.96229330869353,43.100477443050195,46.29355649533944,-0.18532217523302816
Gilbert,"Gilbert, AZ",AZ,280892,33.3528,-111.789,73.05650480225192,78.61513508815744,82.68790195013928,78.11984728018288,1.405992364009144
Glendale,"Glendale, AZ",AZ,248325,33.5387,-112.186,38.68579972446884,63.37617963751498,45.92815062212799,49.33004332803727,-0.03349783359813651
Greensboro,"Greensboro, NC",NC,301700,36.0726,-79.792,52.844789891101286,49.735716017359486,45.92815062212799,49.50288551019625,-0.02485572449018733
Henderson,"Henderson, NV",NV,331540,36.0395,-114.9817,57.43241910605895,74.61890551194001,65.72186287567253,65.92439583122383,0.7962197915611915
Hialeah,"Hialeah, FL",FL,223109,25.8576,-80.2781,1.4800121191853037,63.96229330869353,26.134438368583446,30.52558126548743,-0.9737209367256286
Honolulu,"Honolulu, HI",HI,345510,21.3069,-157.8583,62.09537399503258,72.11460164417709,82.68790195013928,72.29929252978299,1.1149646264891493
Houston,"Houston, TX",TX,2314157,29.7604,-95.3698,39.2433534516176,31.9924566989541,43.100477443050195,38.112095864540635,-0.5943952067729684
Indianapolis,"Indianapolis, IN",IN,887642,39.7684,-86.1581,49.65682196049047,27.94294406172044,37.44513108489461,38.34829903570184,-0.582585048214908
Irvine,"Irvine, CA",CA,314603,33.6846,-117.8265,92.62834621128287,80.5333252847418,93.99859466645044,89.05342205415837,1.9526711027079184
Irving,"Irving, TX",TX,256684,32.814,-96.9489,47.00540776494383,68.70448573913822,54.41117015936136,56.707021221147805,0.33535106105739015
Jacksonville,"Jacksonville, FL",FL,985843,30.3322,-81.6557,51.31304298184715,49.522583773294556,51.58349698028357,50.80637457847509,0.04031872892375452
Jersey City,"Jersey City, NJ",NJ,292449,40.7178,-74.0431,62.84161894501753,68.70448573913822,57.23884333843915,62.928316007531635,0.6464158003765816
Kansas City,"Kansas City, MO",MO,508090,39.0997,-94.5786,53.600771916926064,0.0,40.272804263972404,30.108743727341853,-0.9945628136329073
Laredo,"Laredo, TX",TX,261776,27.5036,-99.5076,10.210173942217075,59.22010087824885,20.479092010427863,29.96978894363126,-1.001510552818437
Las Vegas,"Las Vegas, NV",NV,660929,36.1699,-115.1398,39.97331259447543,51.494057030895156,40.272804263972404,43.913391296447664,-0.30433043517761693
Lexington,"Lexington, KY",KY,322570,38.0406,-84.5037,65.70637575892488,69.29059941031677,62.89418969659474,65.96372162194547,0.7981860810972731
Lincoln,"Lincoln, NE",NE,295222,40.8136,-96.7026,66.07508391027497,67.31912615271617,71.37720923382811,68.25713976560641,0.9128569882803208
Long Beach,"Long Beach, CA",CA,466742,33.7701,-118.1937,41.86768198267978,53.35896416646329,54.41117015936136,49.87927210283481,-0.0060363948582595655
Los Angeles,"Los Angeles, CA",CA,3820914,34.0522,-118.2437,37.45763542727603,44.780391342849875,60.066516517516945,47.43484776254762,-0.12825761187261916
Louisville,"Louisville, KY",KY,628594,38.2527,-85.7585,51.79527103497993,53.30568110544706,28.962111547661237,44.68768789602941,-0.2656156051985296
Lubbock,"Lubbock, TX",TX,266538,33.5779,-101.8552,43.643508578219034,37.90687647175589,31.78978472673903,37.78005659223798,-0.6109971703881008
Madison,"Madison, WI",WI,269840,43.0731,-89.4012,82.36887174795692,69.29059941031677,85.51557512921707,79.05834876249692,1.4529174381248462
Memphis,"Memphis, TN",TN,633104,35.1495,-90.049,41.579013690303086,0.0,14.82374565227228,8.720200258190012,-2.0639899870904994
Mesa,"Mesa, AZ",AZ,511648,33.4152,-111.8315,47.308681671080244,64.12214249174224,51.58349698028357,54.33810704770202,0.21690535238510075
Miami,"Miami, FL",FL,449514,25.7617,-80.1918,32.05224134471986,50.801377237684136,48.75582380120578,43.86981412786992,-0.3065092936065038
Milwaukee,"Milwaukee, WI",WI,577222,43.0389,-87.9065,38.08153182819349,13.609800648353925,26.134438368583446,25.94192361504362,-1.202903819247819
Minneapolis,"Minneapolis, MN",MN,429954,44.9778,-93.265,68.43068135952753,37.90687647175589,71.37720923382811,59.238255688370515,0.46191278441852557
Modesto,"Modesto, CA",CA,218464,37.6391,-120.9969,23.78939325513621,47.977375003823816,31.78978472673903,34.51885099523302,-0.7740574502383492
Moreno Valley,"Moreno Valley, CA",CA,217928,33.9425,-117.2297,23.814044650660726,60.2857620985735,34.61745790581682,39.57242155168368,-0.521378922415816
Nashville,"Nashville, TN",TN,683622,36.1627,-86.7816,58.77182338903697,29.16845446509378,45.92815062212799,44.62280949208625,-0.26885952539568775
New Orleans,"New Orleans, LA",LA,383997,29.9511,-90.0715,53.09024106482886,26.078036926152308,23.30676518950565,34.158347726828936,-0.792082613658553
New York,"New York, NY",NY,8258035,40.7128,-74.006,50.393175481673126,64.33527473580716,71.37720923382811,62.0352198171028,0.60176099085514
Newark,"Newark, NJ",NJ,311549,40.7357,-74.1724,15.02103720433773,37.90687647175589,20.479092010427863,24.469001895507162,-1.2765499052246418
Norfolk,"Norfolk, VA",VA,238005,36.8508,-76.2859,45.5722664377877,53.89179477662561,34.61745790581682,44.693839706743375,-0.2653080146628312
North Las Vegas,"North Las Vegas, NV",NV,287011,36.1989,-115.1175,29.734838123234045,56.12968333930737,37.44513108489461,41.10321751581201,-0.4448391242093995
Oakland,"Oakland, CA",CA,430553,37.8044,-122.2712,55.38907856319006,24.745960400746494,60.066516517516945,46.73385182715117,-0.16330740864244161
Oklahoma City,"Oklahoma City, OK",OK,681054,35.4676,-97.5164,47.38887588301614,44.300843793703784,31.78978472673903,41.15983480115298,-0.4420082599423509
Omaha,"Omaha, NE",NE,489265,41.2565,-95.9345,56.897236858437225,56.6625139494697,60.066516517516945,57.875422441807956,0.39377112209039783
Orlando,"Orlando, FL",FL,320742,28.5383,-81.3792,54.09654280230109,44.407409915736245,54.41117015936136,50.97170762579957,0.048585381289978226
Philadelphia,"Philadelphia, PA",PA,1550542,39.9526,-75.1652,46.644002420473626,35.18944035992804,31.78978472673903,37.8744091690469,-0.6062795415476551
Phoenix,"Phoenix, AZ",AZ,1650070,33.4484,-112.074,45.20355828643763,44.300843793703784,48.75582380120578,46.08674196044906,-0.19566290197754696
Pittsburgh,"Pittsburgh, PA",PA,302971,40.4406,-79.9959,66.07508391027497,53.30568110544706,48.75582380120578,56.0455296056426,0.3022764802821299
Plano,"Plano, TX",TX,288253,33.0198,-96.6989,78.66048153644658,75.79113285429713,77.0325555919837,77.16138999424247,1.3580694997121234
Portland,"Portland, OR",OR,635067,45.5155,-122.6789,72.25989427970043,58.10115659690797,71.37720923382811,67.24608670347884,0.8623043351739419
Raleigh,"Raleigh, NC",NC,482295,35.7796,-78.6382,72.63605959089287,64.54840697987208,71.37720923382811,69.52055860153102,0.9760279300765511
Reno,"Reno, NV",NV,274827,39.5296,-119.8138,51.61768837542599,54.37134232577171,57.23884333843915,54.409291346545615,0.22046456732728079
Richmond,"Richmond, VA",VA,226604,37.5407,-77.436,53.808028862886886,55.65013579016128,31.78978472673903,47.0826497932624,-0.14586751033688009
Riverside,"Riverside, CA",CA,314998,33.9533,-117.3962,28.346285402169467,59.22010087824885,43.100477443050195,43.555621241156175,-0.3222189379421914
Sacramento,"Sacramento, CA",CA,524943,38.5816,-121.4944,49.0291198031706,53.89179477662561,54.41117015936136,52.444028246385855,0.12220141231929289
San Antonio,"San Antonio, TX",TX,1495295,29.4241,-98.4936,40.076941067455834,44.354126854720015,37.44513108489461,40.62539966902349,-0.46873001654882557
San Bernardino,"San Bernardino, CA",CA,222203,34.1083,-117.2898,6.893926143101325,18.831540627944698,14.82374565227228,13.5164041411061,-1.824179792944695
San Diego,"San Diego, CA",CA,1388320,32.7157,-117.1611,64.4632971420474,64.70825616292079,77.0325555919837,68.73470296565063,0.9367351482825313
San Francisco,"San Francisco, CA",CA,808437,37.7749,-122.4194,74.44901763268136,59.32666700028132,88.34324830829486,74.03964431375252,1.2019822156876256
San Jose,"San Jose, CA",CA,945942,37.3382,-121.8863,54.598553713038484,65.24108677308311,82.68790195013928,67.50918081208695,0.875459040604348
Santa Ana,"Santa Ana, CA",CA,309441,33.7455,-117.8677,0.0,61.56455556296308,37.44513108489461,31.660276854822968,-0.9169861572588517
Scottsdale,"Scottsdale, AZ",AZ,241361,33.4942,-111.9261,85.86513647558654,76.96336019665424,88.34324830829486,83.72391499351187,1.686195749675594
Seattle,"Seattle, WA",WA,755078,47.6062,-122.3321,87.40799194812297,54.26477620373924,85.51557512921707,75.72944776035976,1.286472388017988
Spokane,"Spokane, WA",WA,230160,47.6588,-117.426,54.47879378589341,49.735716017359486,45.92815062212799,50.04755347512696,0.002377673756348018
St. Louis,"St. Louis, MO",MO,293310,38.627,-90.1994,49.2881138091404,0.0,9.16839929411669,13.454297482317578,-1.827285125884121
St. Paul,"St. Paul, MN",MN,307193,44.9537,-93.09,57.63724178305981,53.30568110544706,60.066516517516945,57.0031464686746,0.3501573234337301
St. Petersburg,"St. Petersburg, FL",FL,268091,27.7676,-82.6403,57.68897884306878,56.12968333930737,54.41117015936136,56.07661078057917,0.3038305390289586
Stockton,"Stockton, CA",CA,322120,37.9577,-121.2908,19.28682679003435,16.007538394084385,23.30676518950565,19.533710124541464,-1.5233144937729268
Tacoma,"Tacoma, WA",WA,221776,47.2529,-122.4443,50.96898622602157,49.735716017359486,48.75582380120578,49.82017534819561,-0.008991232590219446
Tampa,"Tampa, FL",FL,407599,27.9506,-82.4572,59.17507436471386,58.04787353589174,51.58349698028357,56.26881496029639,0.3134407480148194
Tucson,"Tucson, AZ",AZ,546574,32.2226,-110.9747,46.396116977786114,49.256168468213396,37.44513108489461,44.36580551029804,-0.28170972448509796
Tulsa,"Tulsa, OK",OK,413066,36.154,-95.9928,47.837778246302086,39.07910381411301,28.962111547661237,38.626331202692114,-0.5686834398653945
Virginia Beach,"Virginia Beach, VA",VA,459470,36.8529,-75.978,63.361886872954585,76.48381264750815,68.54953605475032,69.46507852507102,0.9732539262535509
Washington,"Washington, DC",DC,678972,38.9072,-77.0369,77.68628835434117,41.31699237679477,60.066516517516945,59.68993241621763,0.48449662081088146
Wichita,"Wichita, KS",KS,400110,37.6872,-97.3301,48.57154314556233,38.386424020901984,43.100477443050195,43.35281486983817,-0.33235925650809156
Winston-Salem,"Winston-Salem, NC",NC,252292,36.0999,-80.2442,48.78123436048309,49.735716017359486,37.44513108489461,45.320693820912396,-0.23396530895438025
