state,state_name,total_state_taxes,personal_income,population,state_tax_rate,ss_rate,medicare_rate,pfml_rate,federal_payroll_rate,total_burden,taxes_per_capita,rpp,col_weight
AL,Alabama,16895681.0,279484.6,5108468,0.06045299454782124,0.062,0.0145,0.0,0.0765,0.13695299454782123,3258.4166443470626,87.8,0.9851936218678816
AR,Arkansas,12674290.0,173568.3,3067732,0.07302191702056193,0.062,0.0145,0.0,0.0765,0.14952191702056195,4131.485410068415,86.5,1.0
AZ,Arizona,23595616.0,471040.2,7431344,0.050092573839769935,0.062,0.0145,0.0,0.0765,0.12659257383976993,2808.285172875075,97.8,0.8844580777096115
CA,California,265550679.0,3182779.3,38965193,0.08343358240390718,0.062,0.0145,0.009,0.0765,0.16893358240390718,5235.381107662737,112.6,0.7682060390763766
CO,Colorado,18473075.0,473104.6,5877610,0.03904649204425406,0.062,0.0145,0.0045,0.0765,0.12004649204425406,2606.575007171331,104.3,0.8293384467881112
CT,Connecticut,23213078.0,328729.9,3617176,0.07061444060914447,0.062,0.0145,0.005,0.0765,0.15211444060914447,5106.809451145498,108.7,0.795768169273229
DE,Delaware,6534362.0,66943.8,1031890,0.09760966661587779,0.062,0.0145,0.005,0.0765,0.1791096666158778,5477.544244057021,100.0,0.865
FL,Florida,63087887.0,1604650.3,22610726,0.0393156608639278,0.062,0.0145,0.0,0.0765,0.1158156608639278,2399.1069088729223,100.6,0.8598409542743539
GA,Georgia,33644287.0,663930.9,11029227,0.05067438042121552,0.062,0.0145,0.0,0.0765,0.1271743804212155,2858.779506511202,92.3,0.9371614301191766
IA,Iowa,12742000.0,201755.9,3207004,0.06315552605896531,0.062,0.0145,0.0,0.0765,0.1396555260589653,3839.999530636259,89.5,0.9664804469273743
ID,Idaho,8331049.0,116692.4,1964726,0.07139324411872582,0.062,0.0145,0.0,0.0765,0.14789324411872581,3852.8034624187803,95.2,0.9086134453781513
IL,Illinois,66920244.0,907225.7,12549689,0.07376361141444736,0.062,0.0145,0.0,0.0765,0.15026361141444736,4755.201508328667,97.0,0.8917525773195877
IN,Indiana,26123567.0,422345.3,6862199,0.061853575735304735,0.062,0.0145,0.0,0.0765,0.13835357573530474,3630.5965354698606,90.7,0.9536934950385887
KS,Kansas,13067651.0,187457.3,2940546,0.0697100139605126,0.062,0.0145,0.0,0.0765,0.14621001396051259,4256.94370239446,90.3,0.9579180509413068
KY,Kentucky,17220886.0,253319.5,4526154,0.06798089369353721,0.062,0.0145,0.0,0.0765,0.14448089369353723,3697.875336807146,89.0,0.9719101123595506
LA,Louisiana,15955144.0,270677.4,4573749,0.0589452388710694,0.062,0.0145,0.0,0.0765,0.1354452388710694,3352.7563882009654,90.0,0.9611111111111111
MA,Massachusetts,43080972.0,635619.8,7001399,0.06777789489880585,0.062,0.0145,0.00318,0.0765,0.14745789489880584,4834.253870974023,110.1,0.7856494096276113
MD,Maryland,30911703.0,469239.6,6180253,0.06587616006833183,0.062,0.0145,0.0025,0.0765,0.14487616006833182,3943.902390512907,109.7,0.788514129443938
ME,Maine,6509073.0,91602.3,1395722,0.07105796470175967,0.062,0.0145,0.0,0.0765,0.14755796470175966,4062.4410977954644,99.3,0.8710976837865055
MI,Michigan,37572346.0,617163.2,10037261,0.06087910944787375,0.062,0.0145,0.0,0.0765,0.13737910944787374,3523.3330026962594,91.9,0.9412404787812839
MN,Minnesota,35666979.0,418091.0,5737915,0.08530912887385761,0.062,0.0145,0.005,0.0765,0.16680912887385763,5486.586712940082,98.0,0.8826530612244898
MO,Missouri,17789696.0,387601.3,6196156,0.04589689456665909,0.062,0.0145,0.0,0.0765,0.12239689456665909,2796.7221688490167,88.8,0.9740990990990991
MS,Mississippi,10602589.0,146160.9,2939690,0.0725405289649968,0.062,0.0145,0.0,0.0765,0.1490405289649968,3598.38312675383,86.7,0.9976931949250288
MT,Montana,4723708.0,74870.4,1132812,0.06309179595674659,0.062,0.0145,0.0,0.0765,0.1395917959567466,3776.921325910319,95.5,0.9057591623036649
NC,North Carolina,39124746.0,677170.4,10835491,0.057776810681624595,0.062,0.0145,0.0,0.0765,0.1342768106816246,3354.821069170855,93.1,0.929108485499463
ND,North Dakota,5847708.0,56452.5,783926,0.10358634250033213,0.062,0.0145,0.0,0.0765,0.18008634250033212,7075.08853547804,91.2,0.9484649122807017
NE,Nebraska,8104839.0,142166.5,1978379,0.05700948535695821,0.062,0.0145,0.0,0.0765,0.13350948535695822,3872.84318270201,91.5,0.9453551912568307
NH,New Hampshire,3586299.0,111148.6,1402054,0.03226580451755578,0.062,0.0145,0.0,0.0765,0.10876580451755577,2087.3342367966825,106.0,0.8160377358490566
NJ,New Jersey,51838359.0,765228.3,9290841,0.0677423443435116,0.062,0.0145,0.006,0.0765,0.1502423443435116,4252.227219386214,113.5,0.762114537444934
NM,New Mexico,13694047.0,117634.3,2114371,0.11641202438404445,0.062,0.0145,0.0,0.0765,0.19291202438404445,6036.966304248892,92.8,0.9321120689655172
NV,Nevada,15033314.0,214392.7,3194176,0.07012045652673808,0.062,0.0145,0.0,0.0765,0.14662045652673808,4154.18581269441,98.0,0.8826530612244898
NY,New York,119727037.0,1617130.9,19571216,0.07403670104875246,0.062,0.0145,0.00455,0.0765,0.15508670104875244,4565.697102332725,115.9,0.7463330457290768
OH,Ohio,37466367.0,730013.2,11785935,0.051322862381118585,0.062,0.0145,0.0,0.0765,0.1278228623811186,3041.761917631602,90.4,0.956858407079646
OK,Oklahoma,13027326.0,247300.5,4053824,0.05267812236530051,0.062,0.0145,0.0,0.0765,0.12917812236530052,3144.519079211309,88.4,0.9785067873303167
OR,Oregon,17233968.0,286979.9,4233358,0.060052874783216526,0.062,0.0145,0.006,0.0765,0.14255287478321654,3489.9983905309045,100.9,0.8572844400396432
PA,Pennsylvania,55198027.0,885950.0,12961683,0.062303772221908686,0.062,0.0145,0.0,0.0765,0.13880377222190868,3778.1017547782553,97.5,0.8871794871794871
RI,Rhode Island,5277448.0,74777.8,1095962,0.07057506372212073,0.062,0.0145,0.011,0.0765,0.15807506372212074,4152.825102044178,100.3,0.8624127617148555
SC,South Carolina,18026495.0,311235.5,5373555,0.05791914804063161,0.062,0.0145,0.0,0.0765,0.1344191480406316,3185.277871771682,91.1,0.9495060373216246
SD,South Dakota,2678432.0,68097.0,919318,0.03933259908659706,0.062,0.0145,0.0,0.0765,0.11583259908659706,2781.651838489524,90.6,0.9547461368653423
TN,Tennessee,24159796.0,453765.7,7126489,0.05324288724335048,0.062,0.0145,0.0,0.0765,0.12974288724335048,3215.428915116497,91.2,0.9484649122807017
TX,Texas,87336700.0,2074225.2,30503301,0.042105698069814214,0.062,0.0145,0.0,0.0765,0.11860569806981422,2598.8017150956657,95.3,0.9076600209863589
UT,Utah,13437832.0,222237.8,3417734,0.06046600533302615,0.062,0.0145,0.0,0.0765,0.13696600533302616,3473.9564042323104,97.9,0.8835546475995913
VA,Virginia,37661144.0,645405.9,8642274,0.05835264908486272,0.062,0.0145,0.0,0.0765,0.13485264908486272,3645.533096893217,103.4,0.8365570599613152
VT,Vermont,4640749.0,44058.6,647464,0.10533128605992928,0.062,0.0145,0.0,0.0765,0.18183128605992926,6007.708663901531,103.2,0.8381782945736433
WA,Washington,37342055.0,637129.4,7812880,0.05860984440523385,0.062,0.0145,0.0058,0.0765,0.14090984440523385,3845.870917861811,107.5,0.8046511627906977
WI,Wisconsin,25496076.0,384719.8,5910955,0.0662718061300718,0.062,0.0145,0.0,0.0765,0.1427718061300718,3990.4345179941583,93.5,0.9251336898395722
WV,West Virginia,6983118.0,93771.0,1770071,0.07446991073999425,0.062,0.0145,0.0,0.0765,0.15096991073999425,3936.0055658549727,86.7,0.9976931949250288
WY,Wyoming,2639728.0,48583.0,584057,0.054334396805466936,0.062,0.0145,0.0,0.0765,0.13083439680546693,4102.297501576523,95.3,0.9076600209863589
